iter	Passed	Remaining
408	3978	5748
409	3983	5732
410	3990	5718
411	3997	5705
412	4005	5692
413	4012	5679
414	4019	5665
415	4025	5650
416	4030	5635
417	4037	5621
418	4044	5607
419	4049	5592
420	4055	5577
421	4062	5564
422	4069	5551
423	4075	5536
424	4081	5522
425	4090	5511
426	4098	5500
427	4105	5486
428	4111	5472
429	4118	5459
430	4125	5446
431	4132	5433
432	4138	5419
433	4144	5404
434	4151	5392
435	4158	5379
436	4166	5367
437	4172	5353
438	4178	5339
439	4184	5325
440	4192	5313
441	4199	5301
442	4207	5290
443	4213	5276
444	4219	5262
445	4225	5248
446	4232	5236
447	4240	5225
448	4248	5213
449	4255	5201
450	4262	5188
451	4267	5173
452	4273	5160
453	4280	5148
454	4287	5135
455	4294	5123
456	4300	5110
457	4306	5096
458	4313	5084
459	4321	5072
460	4327	5060
461	4334	5047
462	4339	5033
463	4346	5021
464	4353	5009
465	4360	4996
466	4366	4983
467	4371	4969
468	4378	4956
469	4385	4945
470	4393	4934
471	4400	4922
472	4406	4909
473	4413	4897
474	4420	4886
475	4427	4873
476	4434	4861
477	4440	4848
478	4445	4835
479	4452	4823
480	4459	4811
481	4466	4800
482	4472	4787
483	4478	4774
484	4484	4762
485	4491	4750
486	4500	4740
487	4508	4730
488	4515	4718
489	4522	4706
490	4529	4695
491	4536	4683
492	4543	4672
493	4550	4660
494	4556	4648
495	4563	4636
496	4569	4624
497	4575	4612
498	4581	4599
499	4588	4588
500	4595	4577
501	4603	4566
502	4610	4555
503	4616	4543
504	4622	4530
505	4630	4520
506	4636	4508
507	4644	4498
508	4650	4486
509	4656	4473
510	4662	4461
511	4669	4450
512	4676	4439
513	4682	4427
514	4688	4415
515	4694	4403
516	4702	4393
517	4709	4382
518	4716	4370
519	4721	4358
520	4728	4347
521	4735	4335
522	4741	4324
523	4748	4313
524	4755	4302
525	4760	4289
526	4767	4279
527	4774	4268
528	4781	4256
529	4786	4244
530	4792	4233
531	4800	4223
532	4809	4213
533	4816	4203
534	4823	4192
535	4830	4181
536	4836	4169
537	4842	4158
538	4848	4147
539	4855	4136
540	4862	4125
541	4867	4113
542	4873	4101
543	4880	4090
544	4886	4079
545	4892	4068
546	4900	4058
547	4908	4048
548	4915	4038
549	4922	4027
550	4929	4017
551	4937	4007
552	4944	3996
553	4950	3985
554	4956	3974
555	4963	3963
556	4970	3952
557	4977	3942
558	4983	3931
559	4990	3920
560	4996	3909
561	5002	3899
562	5009	3888
563	5016	3877
564	5022	3867
565	5029	3856
566	5035	3845
567	5043	3836
568	5050	3825
569	5058	3815
570	5064	3804
571	5070	3794
572	5076	3783
573	5083	3772
574	5092	3763
575	5098	3753
576	5106	3743
577	5114	3733
578	5121	3723
579	5128	3713
580	5134	3702
581	5141	3692
582	5147	3682
583	5154	3671
584	5161	3661
585	5166	3650
586	5172	3639
587	5179	3629
588	5186	3618
589	5192	3608
590	5197	3596
591	5204	3586
592	5211	3576
593	5217	3566
594	5224	3556
595	5231	3546
596	5238	3536
597	5245	3526
598	5252	3516
599	5258	3505
600	5264	3494
601	5270	3484
602	5277	3474
603	5283	3464
604	5290	3454
605	5296	3443
606	5303	3433
607	5311	3424
608	5319	3415
609	5326	3405
610	5333	3395
611	5340	3385
612	5346	3375
613	5352	3364
614	5359	3354
615	5366	3345
616	5373	3335
617	5379	3324
618	5384	3314
619	5392	3304
620	5398	3295
621	5406	3285
622	5413	3275
623	5419	3265
624	5425	3255
625	5432	3245
626	5439	3235
627	5446	3226
628	5451	3215
629	5458	3205
630	5465	3195
631	5471	3186
632	5478	3176
633	5485	3166
634	5491	3156
635	5497	3146
636	5504	3136
637	5511	3127
638	5517	3117
639	5524	3107
640	5530	3097
641	5538	3088
642	5545	3078
643	5551	3069
644	5558	3059
645	5564	3049
646	5570	3039
647	5577	3029
648	5584	3020
649	5589	3009
650	5595	2999
651	5602	2990
652	5609	2980
653	5615	2970
654	5621	2961
655	5629	2951
656	5635	2942
657	5643	2933
658	5650	2924
659	5657	2914
660	5663	2904
661	5669	2894
662	5676	2885
663	5683	2875
664	5689	2866
665	5696	2856
666	5701	2846
667	5708	2837
668	5716	2828
669	5725	2819
670	5732	2810
671	5739	2801
672	5746	2792
673	5753	2782
674	5759	2772
675	5766	2763
676	5773	2754
677	5780	2745
678	5787	2735
679	5793	2726
680	5800	2717
681	5806	2707
682	5813	2698
683	5819	2688
684	5826	2679
685	5834	2670
686	5841	2661
687	5847	2651
688	5854	2642
689	5861	2633
690	5869	2624
691	5877	2615
692	5884	2606
693	5890	2597
694	5896	2587
695	5903	2578
696	5910	2569
697	5916	2559
698	5923	2550
699	5929	2541
700	5936	2532
701	5943	2522
702	5950	2513
703	5956	2504
704	5962	2495
705	5968	2485
706	5975	2476
707	5982	2467
708	5988	2457
709	5994	2448
710	6000	2439
711	6007	2429
712	6013	2420
713	6020	2411
714	6027	2402
715	6034	2393
716	6041	2384
717	6048	2375
718	6055	2366
719	6062	2357
720	6067	2347
721	6073	2338
722	6080	2329
723	6087	2320
724	6094	2311
725	6100	2302
726	6106	2293
727	6113	2284
728	6121	2275
729	6129	2267
730	6138	2258
731	6145	2250
732	6152	2241
733	6159	2232
734	6165	2222
735	6171	2213
736	6177	2204
737	6184	2195
738	6191	2186
739	6196	2177
740	6203	2168
741	6210	2159
742	6217	2150
743	6224	2141
744	6231	2132
745	6237	2123
746	6244	2114
747	6251	2105
748	6270	2101
749	6276	2092
750	6284	2083
751	6291	2074
752	6299	2066
753	6305	2057
754	6311	2048
755	6317	2039
756	6324	2030
757	6332	2021
758	6339	2012
759	6345	2003
760	6352	1994
761	6358	1985
762	6363	1976
763	6371	1968
764	6378	1959
765	6385	1950
766	6391	1941
767	6396	1932
768	6403	1923
769	6410	1914
770	6417	1906
771	6425	1897
772	6432	1888
773	6438	1879
774	6444	1870
775	6451	1862
776	6458	1853
777	6464	1844
778	6470	1835
779	6476	1826
780	6484	1818
781	6491	1809
782	6497	1800
783	6503	1791
784	6509	1782
785	6516	1774
786	6523	1765
787	6531	1757
788	6539	1748
789	6547	1740
790	6553	1731
791	6559	1722
792	6565	1713
793	6573	1705
794	6579	1696
795	6585	1687
796	6591	1678
797	6597	1670
798	6604	1661
799	6611	1652
800	6616	1643
801	6623	1635
802	6631	1626
803	6638	1618
804	6645	1609
805	6652	1601
806	6658	1592
807	6664	1583
808	6671	1575
809	6678	1566
810	6685	1557
811	6691	1549
812	6697	1540
813	6704	1531
814	6711	1523
815	6719	1515
816	6725	1506
817	6731	1497
818	6738	1489
819	6745	1480
820	6752	1472
821	6760	1463
822	6767	1455
823	6773	1446
824	6779	1438
825	6785	1429
826	6792	1420
827	6799	1412
828	6806	1403
829	6812	1395
830	6818	1386
831	6825	1378
832	6832	1369
833	6839	1361
834	6845	1352
835	6852	1344
836	6858	1335
837	6865	1327
838	6872	1318
839	6879	1310
840	6884	1301
841	6891	1293
842	6898	1284
843	6904	1276
844	6911	1267
845	6917	1259
846	6923	1250
847	6930	1242
848	6938	1234
849	6945	1225
850	6952	1217
851	6957	1208
852	6963	1200
853	6970	1191
854	6977	1183
855	6985	1175
856	6992	1166
857	6999	1158
858	7005	1149
859	7012	1141
860	7020	1133
861	7027	1125
862	7036	1116
863	7043	1108
864	7050	1100
865	7056	1091
866	7062	1083
867	7069	1075
868	7076	1066
869	7083	1058
870	7089	1049
871	7095	1041
872	7101	1033
873	7109	1024
874	7116	1016
875	7123	1008
876	7130	1000
877	7136	991
878	7143	983
879	7150	975
880	7157	966
881	7164	958
882	7171	950
883	7176	941
884	7184	933
885	7190	925
886	7197	916
887	7204	908
888	7211	900
889	7217	891
890	7223	883
891	7230	875
892	7238	867
893	7245	859
894	7252	850
895	7258	842
896	7264	834
897	7271	825
898	7278	817
899	7285	809
900	7291	801
901	7297	792
902	7304	784
903	7311	776
904	7317	768
905	7323	759
906	7329	751
907	7336	743
908	7344	735
909	7351	727
910	7358	718
911	7364	710
912	7371	702
913	7378	694
914	7385	686
915	7393	677
916	7401	669
917	7408	661
918	7414	653
919	7420	645
920	7426	637
921	7434	628
922	7443	620
923	7451	612
924	7458	604
925	7464	596
926	7471	588
927	7477	580
928	7483	571
929	7490	563
930	7497	555
931	7504	547
932	7511	539
933	7516	531
934	7522	522
935	7532	515
936	7539	506
937	7548	498
938	7556	490
939	7563	482
940	7571	474
941	7578	466
942	7585	458
943	7591	450
944	7598	442
945	7604	434
946	7611	425
947	7618	417
948	7625	409
949	7631	401
950	7636	393
951	7643	385
952	7651	377
953	7657	369
954	7664	361
955	7670	353
956	7677	344
957	7682	336
958	7690	328
959	7697	320
960	7703	312
961	7709	304
962	7716	296
963	7723	288
964	7730	280
965	7737	272
966	7744	264
967	7751	256
968	7757	248
969	7764	240
970	7771	232
971	7778	224
972	7785	216
973	7791	207
974	7796	199
975	7803	191
976	7810	183
977	7817	175
978	7823	167
979	7829	159
980	7837	151
981	7845	143
982	7854	135
983	7861	127
984	7868	119
985	7874	111
986	7881	103
987	7887	95
988	7893	87
989	7900	79
990	7907	71
991	7914	63
992	7921	55
993	7927	47
994	7934	39
995	7941	31
996	7949	23
997	7957	15
998	7964	7
999	7969	0
